boolq_id,pred_L1,comp_L1,corr_L1,label_L1,answered_L1,idk_L1,anscorr_L1
dev_0089,i,False,,idk,False,True,
dev_0090,i,False,,idk,False,True,
dev_0091,yes,True,True,yes,True,False,True
dev_0093,yes,True,True,yes,True,False,True
dev_0094,yes,True,True,yes,True,False,True
dev_0095,i,False,,idk,False,True,
dev_0096,no,True,True,no,True,False,True
dev_0097,yes,True,True,yes,True,False,True
dev_0099,i,False,,idk,False,True,
dev_0100,i,False,,idk,False,True,
dev_0101,yes,True,True,yes,True,False,True
dev_0102,no,True,True,no,True,False,True
dev_0104,i,False,,idk,False,True,
dev_0105,i,False,,idk,False,True,
dev_0107,yes,True,False,yes,True,False,False
dev_0109,in,False,,other,False,False,
dev_0112,yes,True,True,yes,True,False,True
dev_0113,i,False,,idk,False,True,
dev_0114,yes,True,True,yes,True,False,True
dev_0115,yes,True,True,yes,True,False,True
dev_0116,yes,True,True,yes,True,False,True
dev_0119,no,True,True,no,True,False,True
dev_0120,no,True,False,no,True,False,False
dev_0121,yes,True,True,yes,True,False,True
dev_0123,no,True,True,no,True,False,True
dev_0124,no,True,True,no,True,False,True
dev_0125,i,False,,idk,False,True,
dev_0126,no,True,True,no,True,False,True
dev_0128,i,False,,idk,False,True,
dev_0129,yes,True,True,yes,True,False,True
dev_0130,i,False,,idk,False,True,
dev_0131,yes,True,True,yes,True,False,True
dev_0132,yes,True,True,yes,True,False,True
dev_0133,i,False,,other,False,False,
dev_0134,i,False,,idk,False,True,
dev_0136,i,False,,idk,False,True,
dev_0137,yes,True,True,yes,True,False,True
dev_0138,yes,True,False,yes,True,False,False
dev_0139,yes,True,True,yes,True,False,True
dev_0140,i,False,,idk,False,True,
dev_0141,the,False,,other,False,False,
dev_0142,no,True,True,no,True,False,True
dev_0143,yes,True,True,yes,True,False,True
dev_0144,yes,True,True,yes,True,False,True
dev_0145,no,True,True,no,True,False,True
dev_0147,yes,True,True,yes,True,False,True
dev_0148,i,False,,idk,False,True,
dev_0150,yes,True,True,yes,True,False,True
dev_0151,yes,True,False,yes,True,False,False
dev_0153,yes,True,True,yes,True,False,True
dev_0154,i,False,,idk,False,True,
dev_0155,i,False,,idk,False,True,
dev_0156,i,False,,idk,False,True,
dev_0157,i,False,,idk,False,True,
dev_0159,yes,True,True,yes,True,False,True
dev_0160,i,False,,idk,False,True,
dev_0161,yes,True,True,yes,True,False,True
dev_0162,yes,True,True,yes,True,False,True
dev_0163,no,True,False,no,True,False,False
dev_0164,i,False,,idk,False,True,
dev_0165,yes,True,False,yes,True,False,False
dev_0166,i,False,,idk,False,True,
dev_0169,no,True,True,no,True,False,True
dev_0170,i,False,,idk,False,True,
dev_0171,i,False,,idk,False,True,
dev_0172,i,False,,idk,False,True,
dev_0175,i,False,,idk,False,True,
dev_0176,i,False,,idk,False,True,
dev_0177,i,False,,idk,False,True,
dev_0178,i,False,,idk,False,True,
dev_0179,no,True,True,no,True,False,True
dev_0180,no,True,True,no,True,False,True
dev_0183,i,False,,idk,False,True,
dev_0184,yes,True,True,yes,True,False,True
dev_0185,i,False,,idk,False,True,
dev_0186,yes,True,True,yes,True,False,True
dev_0187,yes,True,True,yes,True,False,True
dev_0188,yes,True,True,yes,True,False,True
dev_0189,i,False,,idk,False,True,
dev_0190,yes,True,True,yes,True,False,True
dev_0191,i,False,,idk,False,True,
dev_0192,i,False,,idk,False,True,
dev_0193,yes,True,True,yes,True,False,True
dev_0194,i,False,,idk,False,True,
dev_0195,yes,True,True,yes,True,False,True
dev_0196,yes,True,True,yes,True,False,True
dev_0198,i,False,,idk,False,True,
dev_0199,i,False,,idk,False,True,
dev_0200,yes,True,True,yes,True,False,True
dev_0201,yes,True,True,yes,True,False,True
dev_0202,yes,True,True,yes,True,False,True
dev_0203,i,False,,idk,False,True,
dev_0204,i,False,,idk,False,True,
dev_0205,yes,True,True,yes,True,False,True
dev_0206,yes,True,True,yes,True,False,True
dev_0207,yes,True,False,yes,True,False,False
dev_0208,yes,True,True,yes,True,False,True
dev_0209,i,False,,idk,False,True,
dev_0210,yes,True,False,yes,True,False,False
dev_0211,i,False,,idk,False,True,
dev_0212,no,True,True,no,True,False,True
dev_0214,yes,True,True,yes,True,False,True
dev_0215,i,False,,idk,False,True,
dev_0216,i,False,,idk,False,True,
dev_0217,i,False,,idk,False,True,
dev_0219,yes,True,True,yes,True,False,True
dev_0221,yes,True,False,yes,True,False,False
dev_0222,no,True,True,no,True,False,True
dev_0223,i,False,,idk,False,True,
dev_0224,i,False,,idk,False,True,
dev_0226,no,True,True,no,True,False,True
dev_0227,yes,True,True,yes,True,False,True
dev_0228,yes,True,True,yes,True,False,True
dev_0229,no,True,False,no,True,False,False
dev_0230,i,False,,idk,False,True,
dev_0231,i,False,,idk,False,True,
dev_0232,yes,True,True,yes,True,False,True
dev_0234,i,False,,idk,False,True,
dev_0236,no,True,True,no,True,False,True
dev_0237,yes,True,False,yes,True,False,False
dev_0238,i,False,,idk,False,True,
dev_0240,i,False,,idk,False,True,
dev_0241,yes,True,True,yes,True,False,True
dev_0242,yes,True,True,yes,True,False,True
dev_0243,yes,True,False,yes,True,False,False
dev_0245,yes,True,True,yes,True,False,True
dev_0246,i,False,,idk,False,True,
dev_0247,i,False,,idk,False,True,
dev_0248,no,True,False,no,True,False,False
dev_0249,no,True,False,no,True,False,False
dev_0250,i,False,,idk,False,True,
dev_0251,no,True,False,no,True,False,False
dev_0252,i,False,,idk,False,True,
dev_0254,yes,True,True,yes,True,False,True
dev_0256,i,False,,idk,False,True,
dev_0257,no,True,False,no,True,False,False
dev_0258,i,False,,idk,False,True,
dev_0259,i,False,,idk,False,True,
dev_0260,i,False,,idk,False,True,
dev_0261,i,False,,idk,False,True,
dev_0262,yes,True,True,yes,True,False,True
dev_0263,yes,True,True,yes,True,False,True
dev_0264,yes,True,True,yes,True,False,True
dev_0265,i,False,,idk,False,True,
dev_0266,i,False,,idk,False,True,
dev_0267,yes,True,True,yes,True,False,True
dev_0268,yes,True,True,yes,True,False,True
dev_0269,no,True,True,no,True,False,True
dev_0270,yes,True,False,yes,True,False,False
dev_0271,yes,True,True,yes,True,False,True
dev_0272,i,False,,idk,False,True,
dev_0273,i,False,,idk,False,True,
dev_0274,yes,True,True,yes,True,False,True
dev_0275,yes,True,True,yes,True,False,True
dev_0277,i,False,,idk,False,True,
dev_0279,yes,True,True,yes,True,False,True
dev_0280,yes,True,True,yes,True,False,True
dev_0281,i,False,,idk,False,True,
dev_0282,yes,True,True,yes,True,False,True
dev_0284,yes,True,True,yes,True,False,True
dev_0285,i,False,,other,False,False,
dev_0286,i,False,,idk,False,True,
dev_0287,no,True,False,no,True,False,False
dev_0288,yes,True,True,yes,True,False,True
dev_0289,yes,True,True,yes,True,False,True
dev_0290,i,False,,idk,False,True,
dev_0293,yes,True,True,yes,True,False,True
dev_0294,no,True,True,no,True,False,True
dev_0295,yes,True,False,yes,True,False,False
dev_0298,no,True,False,no,True,False,False
dev_0299,i,False,,other,False,False,
dev_0301,no,True,True,no,True,False,True
dev_0302,i,False,,idk,False,True,
dev_0303,i,False,,idk,False,True,
dev_0304,yes,True,True,yes,True,False,True
dev_0305,no,True,True,no,True,False,True
dev_0306,yes,True,True,yes,True,False,True
dev_0307,i,False,,idk,False,True,
dev_0308,yes,True,True,yes,True,False,True
dev_0309,no,True,True,no,True,False,True
dev_0310,i,False,,idk,False,True,
dev_0311,yes,True,True,yes,True,False,True
dev_0312,yes,True,False,yes,True,False,False
dev_0313,no,True,True,no,True,False,True
dev_0314,yes,True,True,yes,True,False,True
dev_0315,yes,True,True,yes,True,False,True
dev_0316,no,True,False,no,True,False,False
dev_0317,i,False,,idk,False,True,
dev_0318,no,True,False,no,True,False,False
dev_0321,no,True,False,no,True,False,False
dev_0322,yes,True,True,yes,True,False,True
dev_0323,yes,True,True,yes,True,False,True
dev_0324,i,False,,idk,False,True,
dev_0325,i,False,,idk,False,True,
dev_0326,yes,True,True,yes,True,False,True
dev_0328,no,True,True,no,True,False,True
dev_0329,yes,True,True,yes,True,False,True
dev_0330,yes,True,True,yes,True,False,True
dev_0331,yes,True,True,yes,True,False,True
dev_0333,no,True,False,no,True,False,False
dev_0334,yes,True,True,yes,True,False,True
dev_0335,i,False,,idk,False,True,
dev_0336,yes,True,False,yes,True,False,False
dev_0337,i,False,,idk,False,True,
dev_0338,yes,True,True,yes,True,False,True
dev_0339,i,False,,idk,False,True,
dev_0341,i,False,,idk,False,True,
dev_0342,no,True,True,no,True,False,True
dev_0343,no,True,False,no,True,False,False
dev_0344,i,False,,idk,False,True,
dev_0345,the,False,,other,False,False,
dev_0346,yes,True,True,yes,True,False,True
dev_0347,i,False,,idk,False,True,
dev_0348,i,False,,idk,False,True,
dev_0349,yes,True,True,yes,True,False,True
dev_0350,i,False,,idk,False,True,
dev_0351,i,False,,idk,False,True,
dev_0352,yes,True,False,yes,True,False,False
dev_0353,yes,True,True,yes,True,False,True
dev_0355,yes,True,False,yes,True,False,False
dev_0357,i,False,,idk,False,True,
dev_0358,no,True,True,no,True,False,True
dev_0359,i,False,,idk,False,True,
dev_0360,i,False,,other,False,False,
dev_0361,yes,True,True,yes,True,False,True
dev_0362,brendon,False,,other,False,False,
dev_0363,yes,True,True,yes,True,False,True
dev_0364,yes,True,False,yes,True,False,False
dev_0366,yes,True,False,yes,True,False,False
dev_0367,i,False,,idk,False,True,
dev_0368,i,False,,idk,False,True,
dev_0369,yes,True,True,yes,True,False,True
dev_0371,i,False,,idk,False,True,
dev_0372,i,False,,idk,False,True,
dev_0373,yes,True,True,yes,True,False,True
dev_0374,i,False,,idk,False,True,
dev_0375,yes,True,True,yes,True,False,True
dev_0376,yes,True,True,yes,True,False,True
dev_0377,yes,True,True,yes,True,False,True
dev_0378,yes,True,True,yes,True,False,True
dev_0379,i,False,,idk,False,True,
dev_0380,yes,True,True,yes,True,False,True
dev_0382,i,False,,idk,False,True,
dev_0383,i,False,,idk,False,True,
dev_0384,i,False,,idk,False,True,
dev_0385,i,False,,idk,False,True,
dev_0386,i,False,,idk,False,True,
dev_0387,yes,True,True,yes,True,False,True
dev_0388,i,False,,idk,False,True,
dev_0389,i,False,,idk,False,True,
dev_0393,yes,True,True,yes,True,False,True
dev_0395,i,False,,idk,False,True,
dev_0396,i,False,,idk,False,True,
dev_0397,no,True,True,no,True,False,True
dev_0398,no,True,True,no,True,False,True
dev_0399,i,False,,idk,False,True,
dev_0400,i,False,,idk,False,True,
dev_0401,i,False,,idk,False,True,
dev_0402,no,True,True,no,True,False,True
dev_0404,i,False,,idk,False,True,
dev_0405,no,True,True,no,True,False,True
dev_0406,yes,True,False,yes,True,False,False
dev_0407,yes,True,True,yes,True,False,True
dev_0408,i,False,,idk,False,True,
dev_0409,yes,True,True,yes,True,False,True
dev_0410,i,False,,idk,False,True,
dev_0411,i,False,,idk,False,True,
dev_0412,i,False,,idk,False,True,
dev_0413,i,False,,idk,False,True,
dev_0416,i,False,,idk,False,True,
dev_0417,no,True,True,no,True,False,True
dev_0418,yes,True,True,yes,True,False,True
dev_0419,i,False,,idk,False,True,
dev_0420,i,False,,idk,False,True,
dev_0421,i,False,,idk,False,True,
dev_0422,i,False,,idk,False,True,
dev_0423,i,False,,idk,False,True,
dev_0425,i,False,,idk,False,True,
dev_0426,no,True,True,no,True,False,True
dev_0427,no,True,True,no,True,False,True
dev_0428,yes,True,False,yes,True,False,False
dev_0429,no,True,False,no,True,False,False
dev_0430,no,True,False,no,True,False,False
dev_0431,yes,True,True,yes,True,False,True
dev_0432,i,False,,idk,False,True,
dev_0434,i,False,,idk,False,True,
dev_0436,yes,True,False,yes,True,False,False
dev_0437,no,True,True,no,True,False,True
dev_0439,i,False,,idk,False,True,
dev_0440,yes,True,True,yes,True,False,True
dev_0441,yes,True,False,yes,True,False,False
dev_0442,no,True,False,no,True,False,False
dev_0443,yes,True,True,yes,True,False,True
dev_0444,i,False,,idk,False,True,
dev_0445,yes,True,True,yes,True,False,True
dev_0446,i,False,,idk,False,True,
dev_0447,i,False,,idk,False,True,
dev_0448,i,False,,idk,False,True,
dev_0449,i,False,,idk,False,True,
dev_0450,i,False,,idk,False,True,
dev_0451,i,False,,idk,False,True,
dev_0452,i,False,,idk,False,True,
dev_0453,i,False,,idk,False,True,
dev_0454,i,False,,idk,False,True,
dev_0455,i,False,,idk,False,True,
dev_0456,yes,True,True,yes,True,False,True
dev_0457,no,True,True,no,True,False,True
dev_0459,i,False,,idk,False,True,
dev_0460,i,False,,idk,False,True,
dev_0461,i,False,,idk,False,True,
dev_0462,i,False,,idk,False,True,
dev_0463,yes,True,True,yes,True,False,True
dev_0464,no,True,True,no,True,False,True
dev_0465,no,True,True,no,True,False,True
dev_0466,yes,True,True,yes,True,False,True
dev_0467,i,False,,idk,False,True,
dev_0469,yes,True,True,yes,True,False,True
dev_0470,yes,True,True,yes,True,False,True
dev_0471,yes,True,True,yes,True,False,True
dev_0472,i,False,,idk,False,True,
dev_0473,i,False,,idk,False,True,
dev_0474,i,False,,idk,False,True,
dev_0475,yes,True,True,yes,True,False,True
dev_0477,i,False,,idk,False,True,
dev_0478,yes,True,True,yes,True,False,True
dev_0479,yes,True,False,yes,True,False,False
dev_0480,no,True,True,no,True,False,True
dev_0481,yes,True,False,yes,True,False,False
dev_0482,yes,True,False,yes,True,False,False
dev_0484,no,True,True,no,True,False,True
dev_0485,yes,True,True,yes,True,False,True
dev_0486,yes,True,True,yes,True,False,True
dev_0487,yes,True,False,yes,True,False,False
dev_0488,yes,True,True,yes,True,False,True
dev_0489,i,False,,idk,False,True,
dev_0490,i,False,,idk,False,True,
dev_0491,i,False,,idk,False,True,
dev_0492,i,False,,idk,False,True,
dev_0493,yes,True,True,yes,True,False,True
dev_0494,no,True,True,no,True,False,True
dev_0495,yes,True,True,yes,True,False,True
dev_0497,yes,True,True,yes,True,False,True
dev_0498,i,False,,idk,False,True,
dev_0499,i,False,,idk,False,True,
dev_0500,i,False,,idk,False,True,
dev_0501,no,True,True,no,True,False,True
dev_0502,i,False,,idk,False,True,
dev_0503,yes,True,True,yes,True,False,True
dev_0504,no,True,False,no,True,False,False
dev_0506,i,False,,idk,False,True,
dev_0507,i,False,,idk,False,True,
dev_0508,no,True,True,no,True,False,True
dev_0509,yes,True,False,yes,True,False,False
dev_0510,i,False,,idk,False,True,
dev_0511,i,False,,idk,False,True,
dev_0512,no,True,True,no,True,False,True
dev_0513,no,True,True,no,True,False,True
dev_0514,i,False,,idk,False,True,
dev_0515,i,False,,idk,False,True,
dev_0516,no,True,True,no,True,False,True
dev_0517,i,False,,idk,False,True,
dev_0518,no,True,True,no,True,False,True
dev_0519,yes,True,True,yes,True,False,True
dev_0520,yes,True,True,yes,True,False,True
dev_0521,no,True,True,no,True,False,True
dev_0522,yes,True,True,yes,True,False,True
dev_0523,yes,True,True,yes,True,False,True
dev_0524,i,False,,idk,False,True,
dev_0525,yes,True,True,yes,True,False,True
dev_0526,no,True,True,no,True,False,True
dev_0527,no,True,True,no,True,False,True
dev_0528,i,False,,idk,False,True,
dev_0529,the,False,,other,False,False,
dev_0530,i,False,,idk,False,True,
dev_0531,no,True,True,no,True,False,True
dev_0532,yes,True,False,yes,True,False,False
dev_0534,yes,True,False,yes,True,False,False
dev_0535,yes,True,True,yes,True,False,True
dev_0536,no,True,False,no,True,False,False
dev_0537,yes,True,False,yes,True,False,False
dev_0538,yes,True,True,yes,True,False,True
dev_0540,yes,True,True,yes,True,False,True
dev_0541,yes,True,True,yes,True,False,True
dev_0543,mel,False,,other,False,False,
dev_0544,i,False,,idk,False,True,
dev_0545,yes,True,True,yes,True,False,True
dev_0546,no,True,False,no,True,False,False
dev_0547,i,False,,idk,False,True,
dev_0548,i,False,,idk,False,True,
dev_0549,no,True,True,no,True,False,True
dev_0550,yes,True,True,yes,True,False,True
dev_0551,no,True,True,no,True,False,True
dev_0552,i,False,,idk,False,True,
dev_0553,no,True,True,no,True,False,True
dev_0554,yes,True,True,yes,True,False,True
dev_0555,yes,True,True,yes,True,False,True
dev_0556,i,False,,idk,False,True,
dev_0557,yes,True,True,yes,True,False,True
dev_0558,yes,True,True,yes,True,False,True
dev_0560,yes,True,False,yes,True,False,False
dev_0562,i,False,,idk,False,True,
dev_0563,no,True,True,no,True,False,True
dev_0564,i,False,,idk,False,True,
dev_0565,i,False,,idk,False,True,
dev_0566,no,True,True,no,True,False,True
dev_0567,i,False,,idk,False,True,
dev_0568,yes,True,False,yes,True,False,False
dev_0569,yes,True,False,yes,True,False,False
dev_0571,i,False,,idk,False,True,
dev_0572,no,True,True,no,True,False,True
dev_0573,yes,True,True,yes,True,False,True
dev_0574,i,False,,other,False,False,
dev_0575,i,False,,idk,False,True,
dev_0576,yes,True,True,yes,True,False,True
dev_0577,yes,True,True,yes,True,False,True
dev_0578,i,False,,idk,False,True,
dev_0579,i,False,,idk,False,True,
dev_0580,i,False,,idk,False,True,
dev_0581,i,False,,idk,False,True,
dev_0582,i,False,,idk,False,True,
dev_0583,i,False,,idk,False,True,
dev_0584,yes,True,True,yes,True,False,True
dev_0585,i,False,,idk,False,True,
dev_0586,i,False,,idk,False,True,
dev_0587,yes,True,True,yes,True,False,True
dev_0588,no,True,False,no,True,False,False
dev_0589,i,False,,idk,False,True,
dev_0590,i,False,,idk,False,True,
dev_0591,i,False,,idk,False,True,
dev_0592,i,False,,idk,False,True,
dev_0593,i,False,,idk,False,True,
dev_0594,yes,True,False,yes,True,False,False
dev_0595,yes,True,True,yes,True,False,True
dev_0596,yes,True,False,yes,True,False,False
dev_0597,i,False,,idk,False,True,
dev_0598,no,True,False,no,True,False,False
dev_0599,yes,True,True,yes,True,False,True
dev_0600,yes,True,True,yes,True,False,True
dev_0601,yes,True,True,yes,True,False,True
dev_0602,yes,True,True,yes,True,False,True
dev_0603,i,False,,idk,False,True,
dev_0604,i,False,,idk,False,True,
dev_0605,i,False,,idk,False,True,
dev_0606,no,True,True,no,True,False,True
dev_0607,yes,True,True,yes,True,False,True
dev_0608,i,False,,idk,False,True,
dev_0609,yes,True,True,yes,True,False,True
dev_0610,denzel,False,,other,False,False,
dev_0612,no,True,False,no,True,False,False
dev_0613,yes,True,True,yes,True,False,True
dev_0614,i,False,,idk,False,True,
dev_0615,i,False,,idk,False,True,
dev_0616,yes,True,True,yes,True,False,True
dev_0617,no,True,False,no,True,False,False
dev_0618,i,False,,idk,False,True,
dev_0619,yes,True,True,yes,True,False,True
dev_0620,i,False,,idk,False,True,
dev_0621,i,False,,idk,False,True,
dev_0622,yes,True,True,yes,True,False,True
dev_0623,i,False,,idk,False,True,
dev_0625,yes,True,True,yes,True,False,True
dev_0626,i,False,,idk,False,True,
dev_0627,yes,True,True,yes,True,False,True
dev_0628,yes,True,True,yes,True,False,True
dev_0629,yes,True,True,yes,True,False,True
dev_0630,no,True,True,no,True,False,True
dev_0631,i,False,,idk,False,True,
dev_0632,the,False,,other,False,False,
dev_0633,yes,True,True,yes,True,False,True
dev_0635,the,False,,other,False,False,
dev_0636,i,False,,idk,False,True,
dev_0637,yes,True,True,yes,True,False,True
dev_0638,yes,True,True,yes,True,False,True
dev_0639,no,True,True,no,True,False,True
dev_0640,i,False,,idk,False,True,
dev_0641,i,False,,idk,False,True,
dev_0644,yes,True,True,yes,True,False,True
dev_0645,no,True,True,no,True,False,True
dev_0646,yes,True,True,yes,True,False,True
dev_0647,yes,True,True,yes,True,False,True
dev_0648,no,True,True,no,True,False,True
dev_0649,yes,True,True,yes,True,False,True
dev_0650,yes,True,True,yes,True,False,True
dev_0652,no,True,True,no,True,False,True
dev_0653,yes,True,True,yes,True,False,True
dev_0654,no,True,True,no,True,False,True
dev_0655,i,False,,idk,False,True,
dev_0656,i,False,,idk,False,True,
dev_0657,yes,True,True,yes,True,False,True
dev_0658,no,True,True,no,True,False,True
dev_0660,i,False,,idk,False,True,
dev_0661,i,False,,idk,False,True,
dev_0662,no,True,False,no,True,False,False
dev_0664,yes,True,True,yes,True,False,True
dev_0665,i,False,,idk,False,True,
dev_0666,no,True,True,no,True,False,True
dev_0668,no,True,True,no,True,False,True
dev_0669,yes,True,True,yes,True,False,True
dev_0670,yes,True,True,yes,True,False,True
dev_0671,yes,True,True,yes,True,False,True
dev_0673,i,False,,idk,False,True,
dev_0675,i,False,,idk,False,True,
dev_0678,yes,True,False,yes,True,False,False
dev_0679,i,False,,idk,False,True,
dev_0680,i,False,,idk,False,True,
dev_0681,i,False,,idk,False,True,
dev_0682,i,False,,idk,False,True,
dev_0683,yes,True,True,yes,True,False,True
dev_0684,yes,True,True,yes,True,False,True
dev_0685,i,False,,idk,False,True,
dev_0686,i,False,,idk,False,True,
dev_0688,i,False,,idk,False,True,
dev_0689,i,False,,idk,False,True,
dev_0690,i,False,,idk,False,True,
dev_0691,i,False,,idk,False,True,
dev_0692,yes,True,True,yes,True,False,True
dev_0693,yes,True,True,yes,True,False,True
dev_0694,i,False,,idk,False,True,
dev_0695,i,False,,idk,False,True,
dev_0696,yes,True,False,yes,True,False,False
dev_0697,yes,True,True,yes,True,False,True
dev_0698,i,False,,idk,False,True,
dev_0699,i,False,,idk,False,True,
dev_0700,yes,True,True,yes,True,False,True
dev_0701,i,False,,idk,False,True,
dev_0702,i,False,,idk,False,True,
dev_0703,i,False,,idk,False,True,
dev_0704,i,False,,idk,False,True,
dev_0706,no,True,True,no,True,False,True
dev_0707,yes,True,True,yes,True,False,True
dev_0708,no,True,True,no,True,False,True
dev_0709,i,False,,idk,False,True,
dev_0710,no,True,True,no,True,False,True
dev_0711,no,True,False,no,True,False,False
dev_0712,yes,True,True,yes,True,False,True
dev_0713,i,False,,idk,False,True,
dev_0714,yes,True,True,yes,True,False,True
dev_0717,i,False,,idk,False,True,
dev_0718,no,True,False,no,True,False,False
dev_0719,i,False,,idk,False,True,
dev_0720,i,False,,idk,False,True,
dev_0721,no,True,True,no,True,False,True
dev_0722,i,False,,idk,False,True,
dev_0723,i,False,,idk,False,True,
dev_0724,yes,True,False,yes,True,False,False
dev_0726,i,False,,idk,False,True,
dev_0728,i,False,,idk,False,True,
dev_0729,i,False,,idk,False,True,
dev_0731,yes,True,False,yes,True,False,False
dev_0732,i,False,,idk,False,True,
dev_0734,yes,True,True,yes,True,False,True
dev_0735,i,False,,idk,False,True,
dev_0736,yes,True,True,yes,True,False,True
dev_0737,yes,True,False,yes,True,False,False
dev_0738,i,False,,idk,False,True,
dev_0739,i,False,,idk,False,True,
dev_0740,i,False,,idk,False,True,
dev_0741,no,True,True,no,True,False,True
dev_0742,i,False,,idk,False,True,
dev_0743,i,False,,other,False,False,
dev_0744,yes,True,True,yes,True,False,True
dev_0745,yes,True,True,yes,True,False,True
dev_0746,i,False,,idk,False,True,
dev_0748,i,False,,idk,False,True,
dev_0749,no,True,True,no,True,False,True
dev_0750,yes,True,True,yes,True,False,True
dev_0752,i,False,,idk,False,True,
dev_0753,i,False,,idk,False,True,
dev_0754,no,True,False,no,True,False,False
dev_0755,i,False,,idk,False,True,
dev_0756,i,False,,idk,False,True,
dev_0757,yes,True,True,yes,True,False,True
dev_0758,the,False,,idk,False,True,
dev_0759,yes,True,False,yes,True,False,False
dev_0760,yes,True,True,yes,True,False,True
dev_0762,adjusted,False,,other,False,False,
dev_0764,no,True,False,no,True,False,False
dev_0765,i,False,,idk,False,True,
dev_0766,yes,True,True,yes,True,False,True
dev_0767,i,False,,idk,False,True,
dev_0768,i,False,,idk,False,True,
dev_0769,yes,True,True,yes,True,False,True
dev_0770,i,False,,idk,False,True,
dev_0771,i,False,,idk,False,True,
dev_0772,yes,True,True,yes,True,False,True
dev_0773,yes,True,True,yes,True,False,True
dev_0774,yes,True,True,yes,True,False,True
dev_0775,no,True,True,no,True,False,True
dev_0776,i,False,,idk,False,True,
dev_0778,i,False,,idk,False,True,
dev_0779,i,False,,other,False,False,
dev_0780,i,False,,other,False,False,
dev_0781,yes,True,True,yes,True,False,True
dev_0782,no,True,False,no,True,False,False
dev_0783,i,False,,idk,False,True,
dev_0784,i,False,,idk,False,True,
dev_0785,i,False,,idk,False,True,
dev_0786,i,False,,other,False,False,
dev_0787,i,False,,idk,False,True,
dev_0788,i,False,,idk,False,True,
dev_0789,i,False,,idk,False,True,
dev_0790,no,True,True,no,True,False,True
dev_0791,no,True,True,no,True,False,True
dev_0792,yes,True,True,yes,True,False,True
dev_0793,yes,True,True,yes,True,False,True
dev_0794,yes,True,True,yes,True,False,True
dev_0795,no,True,True,no,True,False,True
dev_0796,i,False,,idk,False,True,
dev_0797,yes,True,True,yes,True,False,True
dev_0798,i,False,,idk,False,True,
dev_0799,yes,True,True,yes,True,False,True
dev_0800,yes,True,True,yes,True,False,True
dev_0801,no,True,True,no,True,False,True
