boolq_id,pred_L1,comp_L1,label_L1,answered_L1,idk_L1
dev_0240,,False,other,False,False
dev_0241,,False,other,False,False
dev_0242,,False,other,False,False
dev_0243,,False,other,False,False
dev_0245,,False,other,False,False
dev_0247,,False,other,False,False
dev_0248,,False,other,False,False
dev_0249,,False,other,False,False
dev_0250,,False,other,False,False
dev_0251,,False,other,False,False
dev_0252,,False,other,False,False
dev_0254,,False,other,False,False
dev_0256,,False,other,False,False
dev_0257,,False,other,False,False
dev_0258,,False,other,False,False
dev_0260,,False,other,False,False
dev_0262,,False,other,False,False
dev_0266,,False,other,False,False
dev_0268,,False,other,False,False
dev_0270,,False,other,False,False
dev_0271,,False,other,False,False
dev_0272,,False,other,False,False
dev_0273,,False,other,False,False
dev_0277,,False,other,False,False
dev_0281,,False,other,False,False
dev_0284,,False,other,False,False
dev_0286,,False,other,False,False
dev_0287,,False,other,False,False
dev_0288,,False,other,False,False
dev_0290,,False,other,False,False
dev_0294,,False,other,False,False
dev_0295,,False,other,False,False
dev_0298,,False,other,False,False
dev_0301,,False,other,False,False
dev_0303,,False,other,False,False
dev_0305,,False,other,False,False
dev_0306,,False,other,False,False
dev_0307,,False,other,False,False
dev_0308,,False,other,False,False
dev_0309,,False,other,False,False
dev_0310,,False,other,False,False
dev_0312,,False,other,False,False
dev_0313,,False,other,False,False
dev_0315,,False,other,False,False
dev_0316,,False,other,False,False
dev_0317,,False,other,False,False
dev_0318,,False,other,False,False
dev_0321,,False,other,False,False
dev_0322,,False,other,False,False
dev_0323,,False,other,False,False
dev_0326,,False,other,False,False
dev_0329,,False,other,False,False
dev_0330,,False,other,False,False
dev_0331,,False,other,False,False
dev_0333,,False,other,False,False
dev_0334,,False,other,False,False
dev_0336,,False,other,False,False
dev_0337,,False,other,False,False
dev_0338,,False,other,False,False
dev_0339,,False,other,False,False
dev_0342,,False,other,False,False
dev_0343,,False,other,False,False
dev_0344,,False,other,False,False
dev_0346,,False,other,False,False
dev_0347,,False,other,False,False
dev_0348,,False,other,False,False
dev_0352,,False,other,False,False
dev_0355,,False,other,False,False
dev_0357,,False,other,False,False
dev_0359,,False,other,False,False
dev_0361,,False,other,False,False
dev_0363,,False,other,False,False
dev_0364,,False,other,False,False
dev_0366,,False,other,False,False
dev_0367,,False,other,False,False
dev_0368,,False,other,False,False
dev_0371,,False,other,False,False
dev_0374,,False,other,False,False
dev_0376,,False,other,False,False
dev_0379,,False,other,False,False
dev_0386,,False,other,False,False
dev_0387,,False,other,False,False
dev_0388,,False,other,False,False
dev_0398,,False,other,False,False
dev_0400,,False,other,False,False
dev_0401,,False,other,False,False
dev_0402,,False,other,False,False
dev_0404,,False,other,False,False
dev_0406,,False,other,False,False
dev_0410,,False,other,False,False
dev_0411,,False,other,False,False
dev_0412,,False,other,False,False
dev_0418,,False,other,False,False
dev_0419,,False,other,False,False
dev_0420,,False,other,False,False
dev_0421,,False,other,False,False
dev_0422,,False,other,False,False
dev_0426,,False,other,False,False
dev_0427,,False,other,False,False
dev_0428,,False,other,False,False
dev_0429,,False,other,False,False
dev_0430,,False,other,False,False
dev_0432,,False,other,False,False
dev_0434,,False,other,False,False
dev_0436,,False,other,False,False
dev_0437,,False,other,False,False
dev_0439,,False,other,False,False
dev_0441,,False,other,False,False
dev_0442,,False,other,False,False
dev_0443,,False,other,False,False
dev_0446,,False,other,False,False
dev_0447,,False,other,False,False
dev_0448,,False,other,False,False
dev_0452,,False,other,False,False
dev_0453,,False,other,False,False
dev_0455,,False,other,False,False
dev_0459,,False,other,False,False
dev_0464,,False,other,False,False
dev_0465,,False,other,False,False
dev_0467,,False,other,False,False
dev_0472,,False,other,False,False
dev_0474,,False,other,False,False
dev_0478,,False,other,False,False
dev_0479,,False,other,False,False
dev_0480,,False,other,False,False
dev_0481,,False,other,False,False
dev_0482,,False,other,False,False
dev_0484,,False,other,False,False
dev_0486,,False,other,False,False
dev_0487,,False,other,False,False
dev_0489,,False,other,False,False
dev_0490,,False,other,False,False
dev_0491,,False,other,False,False
dev_0493,,False,other,False,False
dev_0494,,False,other,False,False
dev_0498,,False,other,False,False
dev_0499,,False,other,False,False
dev_0501,,False,other,False,False
dev_0502,,False,other,False,False
dev_0504,,False,other,False,False
dev_0506,,False,other,False,False
dev_0507,,False,other,False,False
dev_0508,,False,other,False,False
dev_0509,,False,other,False,False
dev_0512,,False,other,False,False
dev_0513,,False,other,False,False
dev_0515,,False,other,False,False
dev_0518,,False,other,False,False
dev_0520,,False,other,False,False
dev_0521,,False,other,False,False
dev_0522,,False,other,False,False
dev_0524,,False,other,False,False
dev_0525,,False,other,False,False
dev_0526,,False,other,False,False
dev_0527,,False,other,False,False
dev_0528,,False,other,False,False
dev_0531,,False,other,False,False
dev_0532,,False,other,False,False
dev_0534,,False,other,False,False
dev_0535,,False,other,False,False
dev_0536,,False,other,False,False
dev_0537,,False,other,False,False
dev_0544,,False,other,False,False
dev_0545,,False,other,False,False
dev_0546,,False,other,False,False
dev_0547,,False,other,False,False
dev_0550,,False,other,False,False
dev_0551,,False,other,False,False
dev_0552,,False,other,False,False
dev_0553,,False,other,False,False
dev_0555,,False,other,False,False
dev_0557,,False,other,False,False
dev_0560,,False,other,False,False
dev_0562,,False,other,False,False
dev_0563,,False,other,False,False
dev_0565,,False,other,False,False
dev_0566,,False,other,False,False
dev_0567,,False,other,False,False
dev_0568,,False,other,False,False
dev_0569,,False,other,False,False
dev_0571,,False,other,False,False
dev_0572,,False,other,False,False
dev_0573,,False,other,False,False
dev_0577,,False,other,False,False
dev_0579,,False,other,False,False
dev_0580,,False,other,False,False
dev_0581,,False,other,False,False
dev_0583,,False,other,False,False
dev_0584,,False,other,False,False
dev_0585,,False,other,False,False
dev_0588,,False,other,False,False
dev_0589,,False,other,False,False
dev_0591,,False,other,False,False
dev_0593,,False,other,False,False
dev_0594,,False,other,False,False
dev_0595,,False,other,False,False
dev_0596,,False,other,False,False
dev_0598,,False,other,False,False
dev_0603,,False,other,False,False
dev_0605,,False,other,False,False
dev_0606,,False,other,False,False
dev_0612,,False,other,False,False
dev_0614,,False,other,False,False
dev_0615,,False,other,False,False
dev_0616,,False,other,False,False
dev_0617,,False,other,False,False
dev_0618,,False,other,False,False
dev_0619,,False,other,False,False
dev_0620,,False,other,False,False
dev_0621,,False,other,False,False
dev_0623,,False,other,False,False
dev_0626,,False,other,False,False
dev_0627,,False,other,False,False
dev_0629,,False,other,False,False
dev_0630,,False,other,False,False
dev_0631,,False,other,False,False
dev_0636,,False,other,False,False
dev_0638,,False,other,False,False
dev_0641,,False,other,False,False
dev_0644,,False,other,False,False
dev_0646,,False,other,False,False
dev_0647,,False,other,False,False
dev_0648,,False,other,False,False
dev_0650,,False,other,False,False
dev_0652,,False,other,False,False
dev_0653,,False,other,False,False
dev_0654,,False,other,False,False
dev_0655,,False,other,False,False
dev_0656,,False,other,False,False
dev_0657,,False,other,False,False
dev_0658,,False,other,False,False
dev_0661,,False,other,False,False
dev_0662,,False,other,False,False
dev_0668,,False,other,False,False
dev_0671,,False,other,False,False
dev_0675,,False,other,False,False
dev_0678,,False,other,False,False
dev_0680,,False,other,False,False
dev_0682,,False,other,False,False
dev_0686,,False,other,False,False
dev_0691,,False,other,False,False
dev_0692,,False,other,False,False
dev_0696,,False,other,False,False
dev_0697,,False,other,False,False
dev_0699,,False,other,False,False
dev_0701,,False,other,False,False
dev_0703,,False,other,False,False
dev_0704,,False,other,False,False
dev_0708,,False,other,False,False
dev_0711,,False,other,False,False
dev_0713,,False,other,False,False
dev_0718,,False,other,False,False
dev_0720,,False,other,False,False
dev_0721,,False,other,False,False
dev_0724,,False,other,False,False
dev_0731,,False,other,False,False
dev_0734,,False,other,False,False
dev_0735,,False,other,False,False
dev_0736,,False,other,False,False
dev_0737,,False,other,False,False
dev_0738,,False,other,False,False
dev_0740,,False,other,False,False
dev_0741,,False,other,False,False
dev_0744,,False,other,False,False
dev_0746,,False,other,False,False
dev_0749,,False,other,False,False
dev_0752,,False,other,False,False
dev_0754,,False,other,False,False
dev_0757,,False,other,False,False
dev_0759,,False,other,False,False
dev_0764,,False,other,False,False
dev_0765,,False,other,False,False
dev_0767,,False,other,False,False
dev_0770,,False,other,False,False
dev_0771,,False,other,False,False
dev_0773,,False,other,False,False
dev_0778,,False,other,False,False
dev_0782,,False,other,False,False
dev_0783,,False,other,False,False
dev_0787,,False,other,False,False
dev_0788,,False,other,False,False
dev_0790,,False,other,False,False
dev_0794,,False,other,False,False
dev_0795,,False,other,False,False
dev_0797,,False,other,False,False
dev_0798,,False,other,False,False
dev_0799,,False,other,False,False
dev_0814,,False,other,False,False
dev_0815,,False,other,False,False
dev_0816,,False,other,False,False
dev_0817,,False,other,False,False
dev_0822,,False,other,False,False
dev_0823,,False,other,False,False
dev_0825,,False,other,False,False
dev_0829,,False,other,False,False
dev_0831,,False,other,False,False
dev_0832,,False,other,False,False
dev_0833,,False,other,False,False
dev_0835,,False,other,False,False
dev_0837,,False,other,False,False
dev_0838,,False,other,False,False
dev_0839,,False,other,False,False
dev_0842,,False,other,False,False
dev_0844,,False,other,False,False
dev_0845,,False,other,False,False
dev_0848,,False,other,False,False
dev_0851,,False,other,False,False
dev_0852,,False,other,False,False
dev_0853,,False,other,False,False
dev_0854,,False,other,False,False
dev_0855,,False,other,False,False
dev_0859,,False,other,False,False
dev_0861,,False,other,False,False
dev_0862,,False,other,False,False
dev_0863,,False,other,False,False
dev_0864,,False,other,False,False
dev_0865,,False,other,False,False
dev_0866,,False,other,False,False
dev_0867,,False,other,False,False
dev_0868,,False,other,False,False
dev_0870,,False,other,False,False
dev_0871,,False,other,False,False
dev_0872,,False,other,False,False
dev_0873,,False,other,False,False
dev_0874,,False,other,False,False
dev_0875,,False,other,False,False
dev_0878,,False,other,False,False
dev_0880,,False,other,False,False
dev_0883,,False,other,False,False
dev_0885,,False,other,False,False
dev_0888,,False,other,False,False
dev_0896,,False,other,False,False
dev_0898,,False,other,False,False
dev_0900,,False,other,False,False
dev_0901,,False,other,False,False
dev_0908,,False,other,False,False
dev_0909,,False,other,False,False
dev_0910,,False,other,False,False
dev_0911,,False,other,False,False
dev_0913,,False,other,False,False
dev_0914,,False,other,False,False
dev_0915,,False,other,False,False
dev_0916,,False,other,False,False
dev_0921,,False,other,False,False
dev_0922,,False,other,False,False
dev_0933,,False,other,False,False
dev_0934,,False,other,False,False
dev_0935,,False,other,False,False
dev_0938,,False,other,False,False
dev_0940,,False,other,False,False
dev_0943,,False,other,False,False
dev_0944,,False,other,False,False
dev_0945,,False,other,False,False
dev_0950,,False,other,False,False
dev_0952,,False,other,False,False
dev_0953,,False,other,False,False
dev_0954,,False,other,False,False
dev_0955,,False,other,False,False
dev_0958,,False,other,False,False
dev_0966,,False,other,False,False
dev_0973,,False,other,False,False
dev_0975,,False,other,False,False
dev_0981,,False,other,False,False
dev_0985,,False,other,False,False
dev_0991,,False,other,False,False
dev_0992,,False,other,False,False
dev_0994,,False,other,False,False
dev_0996,,False,other,False,False
dev_0997,,False,other,False,False
dev_1003,,False,other,False,False
dev_1006,,False,other,False,False
dev_1011,,False,other,False,False
dev_1022,,False,other,False,False
dev_1023,,False,other,False,False
dev_1032,,False,other,False,False
dev_1049,,False,other,False,False
dev_1050,,False,other,False,False
dev_1059,,False,other,False,False
dev_1062,,False,other,False,False
dev_1067,,False,other,False,False
dev_1075,,False,other,False,False
dev_1076,,False,other,False,False
dev_1078,,False,other,False,False
dev_1083,,False,other,False,False
dev_1088,,False,other,False,False
dev_1089,,False,other,False,False
dev_1097,,False,other,False,False
dev_1102,,False,other,False,False
dev_1110,,False,other,False,False
dev_1112,,False,other,False,False
dev_1113,,False,other,False,False
dev_1121,,False,other,False,False
dev_1125,,False,other,False,False
dev_1131,,False,other,False,False
dev_1132,,False,other,False,False
dev_1133,,False,other,False,False
dev_1134,,False,other,False,False
dev_1135,,False,other,False,False
dev_1137,,False,other,False,False
dev_1138,,False,other,False,False
dev_1139,,False,other,False,False
dev_1142,,False,other,False,False
dev_1143,,False,other,False,False
dev_1146,,False,other,False,False
dev_1148,,False,other,False,False
dev_1153,,False,other,False,False
dev_1154,,False,other,False,False
dev_1155,,False,other,False,False
dev_1158,,False,other,False,False
dev_1159,,False,other,False,False
dev_1162,,False,other,False,False
dev_1171,,False,other,False,False
dev_1172,,False,other,False,False
dev_1175,,False,other,False,False
dev_1177,,False,other,False,False
dev_1178,,False,other,False,False
dev_1179,,False,other,False,False
dev_1183,,False,other,False,False
dev_1186,,False,other,False,False
dev_1188,,False,other,False,False
dev_1195,,False,other,False,False
dev_1196,,False,other,False,False
dev_1197,,False,other,False,False
dev_1204,,False,other,False,False
dev_1205,,False,other,False,False
dev_1207,,False,other,False,False
dev_1208,,False,other,False,False
dev_1209,,False,other,False,False
dev_1210,,False,other,False,False
dev_1213,,False,other,False,False
dev_1221,,False,other,False,False
dev_1222,,False,other,False,False
dev_1224,,False,other,False,False
